Provider_ID,Service_ID
322,20
361,11
152,17
193,18
83,3
102,16
186,15
84,4
170,7
254,6
246,2
474,9
46,13
132,16
38,9
90,19
478,15
384,8
30,4
460,3
114,3
429,15
368,5
371,10
120,19
463,13
65,3
416,17
26,11
322,10
361,1
110,10
490,2
440,1
197,14
493,13
485,9
356,7
307,2
45,2
97,12
318,17
391,1
14,14
129,1
276,20
352,9
98,13
90,9
48,12
174,8
386,7
314,18
470,6
261,12
167,5
159,1
136,17
34,6
463,3
254,9
86,16
246,5
372,1
413,2
256,18
113,6
299,16
492,2
425,12
29,12
249,15
461,14
359,3
371,13
318,7
109,13
14,4
276,10
153,19
447,8
226,9
310,2
48,2
394,1
313,13
492,15
439,9
44,4
317,19
451,19
484,16
343,13
181,14
214,11
123,9
249,5
40,11
375,1
207,8
158,3
127,15
462,5
420,8
431,17
150,4
298,18
331,15
405,1
229,4
146,6
187,7
104,9
332,16
241,14
400,7
149,16
401,8
362,16
226,12
131,3
229,17
81,2
388,10
218,7
210,3
263,15
160,2
294,2
118,5
252,5
423,3
172,12
339,9
426,14
289,8
195,1
164,13
251,18
460,12
430,20
290,9
122,16
39,18
160,15
414,17
233,5
285,15
236,10
183,4
403,7
100,6
226,2
278,12
69,18
479,2
262,4
346,3
87,8
350,9
1,4
46,12
183,17
478,14
376,3
301,9
460,2
42,14
262,17
421,10
72,5
338,12
170,19
255,14
213,17
254,18
433,20
68,7
202,7
152,6
144,2
250,20
289,11
417,17
460,15
406,7
491,2
95,2
106,11
307,1
410,13
99,8
140,9
57,11
175,3
141,10
436,7
167,4
440,13
346,6
387,7
304,9
136,16
87,11
128,12
37,10
466,7
182,19
38,11
467,8
40,20
345,18
295,17
421,13
462,14
253,20
72,8
64,4
57,1
372,13
15,4
193,10
364,8
406,10
136,6
139,11
212,1
3,7
129,3
132,8
79,2
216,7
444,14
268,17
166,6
394,13
378,5
135,18
462,4
253,10
44,16
85,17
420,7
371,2
117,6
463,5
245,11
36,17
382,16
280,5
238,8
207,20
199,16
317,8
286,20
192,13
97,4
329,18
276,12
226,11
310,4
449,19
489,12
177,5
218,6
450,20
188,20
481,7
43,10
222,12
484,18
161,2
348,8
86,8
381,5
306,11
393,16
264,14
162,3
332,5
249,7
40,13
469,10
73,10
6,20
378,8
419,9
116,8
74,11
302,18
66,7
233,4
252,17
287,11
488,1
320,8
69,17
229,6
187,9
415,16
112,15
407,12
439,1
263,4
149,18
476,4
13,14
487,13
312,17
179,18
305,14
336,1
475,16
32,4
43,13
171,19
244,3
161,5
111,4
331,7
465,7
248,9
30,15
145,2
282,7
114,14
20,7
408,3
31,16
157,12
377,15
335,18
495,7
118,20
414,19
453,10
141,9
58,11
259,1
364,17
11,15
354,9
346,5
365,18
338,1
84,5
357,14
263,7
274,16
126,1
4,12
441,13
339,1
77,1
175,15
216,16
376,5
301,11
30,5
42,16
156,1
479,17
122,8
437,20
72,7
64,3
464,10
422,13
327,4
151,7
76,13
68,9
330,15
247,17
278,4
110,11
498,7
289,13
27,13
402,11
148,15
308,4
57,13
478,6
15,16
216,6
342,2
345,7
91,11
479,7
303,10
295,6
41,10
437,10
84,8
87,13
53,20
348,17
86,17
466,9
3,19
383,11
349,18
322,1
132,20
79,14
250,12
29,13
197,5
451,7
159,15
329,17
67,17
287,20
101,9
227,5
450,19
189,14
356,11
45,6
340,3
231,16
14,18
129,5
383,1
6,19
292,4
75,6
470,10
462,6
44,18
200,6
211,15
371,4
412,5
431,18
329,7
463,7
381,17
78,16
245,13
355,1
112,14
29,16
115,19
230,6
324,13
458,13
241,15
116,20
317,10
356,1
13,13
401,9
412,18
16,18
223,2
142,14
134,10
279,19
131,4
446,16
229,18
442,18
337,1
89,15
465,6
256,12
154,1
374,4
458,3
282,6
191,4
157,11
336,13
377,14
369,10
236,11
276,4
488,3
465,19
187,11
442,8
347,5
130,7
308,13
445,18
351,11
256,2
343,7
134,13
175,14
80,5
309,14
81,6
396,18
388,14
84,17
472,13
263,19
168,10
389,15
422,12
327,3
118,9
130,20
202,8
381,10
468,15
111,6
449,1
19,8
321,1
198,10
30,17
373,11
357,3
494,8
4,1
243,17
410,14
319,12
285,19
152,20
61,18
262,8
437,9
228,15
448,18
186,18
178,14
365,20
103,20
213,8
182,20
383,10
46,16
258,15
392,15
175,17
376,7
133,20
326,6
373,1
83,19
471,15
346,20
23,4
56,1
190,1
372,14
163,20
68,11
15,5
194,7
235,8
113,19
227,4
18,10
52,8
239,14
137,3
406,11
398,7
106,15
147,16
441,5
56,14
231,15
349,7
360,16
425,2
444,15
436,11
227,17
174,11
429,8
178,17
170,13
2,20
117,7
390,16
136,20
296,9
348,19
45,18
78,15
196,7
341,16
459,8
208,17
409,7
456,2
10,1
197,7
284,12
116,19
108,15
242,15
139,2
64,8
181,4
447,11
90,2
48,5
280,19
272,15
439,12
409,20
41,2
442,17
261,5
93,12
211,4
485,15
86,9
466,1
204,1
215,10
181,17
79,6
71,2
385,12
82,11
48,18
21,1
427,14
124,13
284,2
344,16
108,5
336,12
470,12
412,7
203,13
431,20
337,13
78,18
405,4
416,13
146,9
112,16
272,5
332,19
238,12
241,17
367,13
408,14
400,10
191,16
10,4
485,5
356,3
306,2
97,8
184,13
150,20
385,2
82,1
257,2
179,19
386,3
135,12
127,8
35,10
476,18
111,5
298,11
426,17
248,10
154,3
382,10
415,7
81,18
54,1
73,14
408,4
191,6
419,13
377,16
294,18
335,19
487,4
225,4
16,10
412,10
404,6
142,6
92,5
480,1
17,11
19,20
313,9
365,19
491,15
483,11
389,4
475,7
51,8
256,4
259,15
471,14
290,2
209,14
293,7
346,19
23,3
338,15
168,12
369,2
107,2
205,16
24,4
163,19
297,19
111,8
144,5
331,11
498,8
289,14
376,19
8,1
281,10
27,14
228,4
19,10
407,6
11,6
326,18
145,6
221,1
240,14
31,20
358,6
182,9
316,9
300,1
217,3
445,10
277,17
269,13
15,17
353,12
91,12
270,14
11,19
39,1
440,16
137,15
126,5
254,11
45,17
76,4
163,9
383,12
129,16
300,14
459,7
250,13
69,1
376,9
27,4
342,16
30,9
167,20
159,16
246,20
285,11
486,1
68,13
353,2
8,4
490,7
60,14
448,10
52,10
186,10
136,9
87,4
53,11
254,1
56,16
171,3
231,17
182,12
132,11
333,1
352,14
269,16
428,9
94,20
167,10
44,19
481,20
219,20
170,15
211,16
117,9
337,12
497,1
34,11
37,16
330,9
113,11
193,3
71,14
459,10
63,10
425,17
249,20
105,12
292,18
284,14
443,7
139,4
192,16
371,18
22,13
59,17
173,2
352,4
444,7
227,9
355,15
489,15
394,6
272,17
253,3
219,10
10,16
203,2
423,5
443,20
120,4
340,7
172,14
212,7
112,5
299,11
385,14
477,17
260,19
427,16
210,18
74,14
294,17
454,6
24,13
423,18
329,11
279,10
70,16
9,6
28,19
415,19
489,5
500,14
492,10
238,14
143,5
21,16
450,13
97,10
165,1
480,13
50,20
430,12
176,16
355,18
469,3
124,5
419,2
116,1
336,4
294,7
126,14
169,12
370,2
468,16
70,6
28,9
465,10
457,6
248,12
449,2
214,19
321,2
332,11
115,13
491,4
274,6
12,6
317,4
350,1
369,14
13,7
99,10
487,6
65,17
328,18
480,3
313,11
472,4
491,17
389,6
350,14
96,18
297,8
225,19
80,9
332,1
164,8
156,4
114,7
23,5
205,18
24,6
16,2
380,19
285,10
372,15
58,4
144,7
449,5
8,3
27,16
407,8
354,2
103,11
491,7
494,12
53,10
88,4
327,20
217,5
445,12
301,4
125,7
144,20
91,14
251,3
83,10
270,16
471,6
228,19
338,7
422,6
213,12
37,15
330,8
247,10
467,13
250,15
417,12
334,14
125,20
197,8
189,4
201,15
410,8
14,8
316,1
285,13
395,1
133,1
91,4
60,16
485,16
212,6
391,8
432,9
181,18
79,7
98,20
467,3
90,16
40,15
174,15
260,18
177,20
284,3
75,9
344,17
470,13
421,8
368,2
387,15
67,10
59,6
466,15
70,15
413,9
405,5
101,2
154,14
18,4
374,17
193,5
291,19
29,19
417,15
359,10
284,16
325,17
451,13
234,15
318,14
14,11
142,17
349,1
82,2
268,12
428,1
174,5
260,8
6,12
469,2
177,10
41,6
127,9
74,3
93,16
473,8
337,4
161,7
466,5
245,6
196,1
215,14
343,20
248,11
374,7
131,20
461,11
408,5
325,7
451,3
66,12
294,19
412,11
55,2
279,12
438,5
363,11
154,17
230,12
138,14
86,3
172,6
393,11
434,12
55,15
47,11
248,1
301,13
480,15
290,3
199,1
31,8
116,3
157,4
369,3
286,5
161,10
373,14
324,9
62,9
20,12
199,14
23,17
358,7
484,3
65,19
225,8
453,15
