Request_ID,Request_Time,Response_Time,Completion_Time,Scheduled_Time,Req_Status,Cancellation_Reason,User_ID,Provider_ID,Service_ID
1,2023-08-14 00:00:00,,,2023-08-19 00:00:00,No Response,,1050,56,11
2,2024-06-06 00:00:00,2024-06-06 00:20:00,,2024-06-07 00:00:00,Cancelled,User Cancelled,389,320,7
3,2021-12-12 00:00:00,2021-12-12 00:56:00,2021-12-12 03:47:00,2021-12-12 00:00:00,Completed,,217,183,11
4,2022-06-20 00:00:00,2022-06-20 01:29:00,2022-06-20 04:01:00,2022-06-25 00:00:00,Completed,,798,109,15
5,2020-10-02 00:00:00,2020-10-02 00:57:00,2020-10-02 03:41:00,2020-10-06 00:00:00,Completed,,1278,189,2
6,2021-12-03 00:00:00,2021-12-03 00:17:00,,2021-12-07 00:00:00,Cancelled,Provider Unavailable,1024,53,18
7,2021-06-28 00:00:00,2021-06-28 00:27:00,,2021-07-03 00:00:00,Cancelled,Late Response,1293,357,13
8,2020-10-03 00:00:00,2020-10-03 00:07:00,,2020-10-07 00:00:00,Cancelled,Late Response,652,436,16
9,2022-08-10 00:00:00,,,2022-08-14 00:00:00,No Response,,920,196,17
10,2020-03-27 00:00:00,,,2020-03-27 00:00:00,No Response,,1444,7,8
11,2022-09-24 00:00:00,,,2022-09-24 00:00:00,No Response,,633,122,14
12,2025-08-04 00:00:00,2025-08-04 00:30:00,,2025-08-05 00:00:00,Cancelled,Provider Unavailable,123,71,12
13,2022-09-02 00:00:00,,,2022-09-06 00:00:00,No Response,,419,329,2
14,2021-07-03 00:00:00,2021-07-03 00:45:00,,2021-07-08 00:00:00,Cancelled,User Cancelled,1938,228,11
15,2023-03-27 00:00:00,2023-03-27 00:34:00,2023-03-27 03:33:00,2023-03-29 00:00:00,Completed,,1067,406,14
16,2020-08-09 00:00:00,,,2020-08-10 00:00:00,No Response,,497,106,18
17,2024-04-11 00:00:00,,,2024-04-13 00:00:00,No Response,,1642,352,8
18,2020-09-21 00:00:00,2020-09-21 00:13:00,,2020-09-22 00:00:00,Cancelled,User Cancelled,376,227,1
19,2021-05-29 00:00:00,2021-05-29 00:27:00,2021-05-29 05:18:00,2021-05-30 00:00:00,Completed,,1300,73,7
20,2024-10-11 00:00:00,,,2024-10-14 00:00:00,No Response,,484,260,3
21,2022-09-30 00:00:00,2022-09-30 00:27:00,,2022-10-04 00:00:00,Cancelled,User Cancelled,638,85,7
22,2025-01-10 00:00:00,,,2025-01-11 00:00:00,No Response,,621,147,19
23,2020-11-23 00:00:00,2020-11-23 00:55:00,,2020-11-26 00:00:00,Cancelled,User Cancelled,557,442,16
24,2025-08-31 00:00:00,,,2025-09-05 00:00:00,No Response,,965,226,14
25,2025-05-28 00:00:00,2025-05-28 01:42:00,2025-05-28 05:07:00,2025-05-31 00:00:00,Completed,,888,390,5
26,2021-09-17 00:00:00,,,2021-09-22 00:00:00,No Response,,1750,43,10
27,2025-03-14 00:00:00,2025-03-14 01:03:00,,2025-03-16 00:00:00,Cancelled,Provider Unavailable,360,132,13
28,2020-10-21 00:00:00,2020-10-21 00:22:00,,2020-10-26 00:00:00,Cancelled,Provider Unavailable,1152,311,16
29,2020-01-18 00:00:00,2020-01-18 01:55:00,2020-01-18 06:21:00,2020-01-23 00:00:00,Completed,,401,80,7
30,2024-07-15 00:00:00,2024-07-15 00:55:00,,2024-07-20 00:00:00,Cancelled,Provider Unavailable,1486,192,16
31,2020-10-18 00:00:00,2020-10-18 01:58:00,,2020-10-18 00:00:00,Cancelled,User Cancelled,787,251,10
32,2021-10-27 00:00:00,2021-10-27 01:42:00,2021-10-27 05:35:00,2021-10-29 00:00:00,Completed,,789,478,19
33,2025-09-18 00:00:00,,,2025-09-21 00:00:00,No Response,,1580,468,12
34,2020-08-24 00:00:00,,,2020-08-27 00:00:00,No Response,,1301,353,12
35,2022-09-19 00:00:00,2022-09-19 00:09:00,,2022-09-21 00:00:00,Cancelled,Late Response,1898,218,8
36,2021-08-28 00:00:00,2021-08-28 01:22:00,,2021-08-31 00:00:00,Cancelled,Late Response,1448,347,1
37,2021-10-23 00:00:00,2021-10-23 00:19:00,2021-10-23 01:16:00,2021-10-28 00:00:00,Completed,,302,131,8
38,2024-06-16 00:00:00,,,2024-06-20 00:00:00,No Response,,1458,470,13
39,2025-10-24 00:00:00,2025-10-24 01:57:00,2025-10-24 05:43:00,2025-10-25 00:00:00,Completed,,1996,462,3
40,2023-05-22 00:00:00,,,2023-05-26 00:00:00,No Response,,1700,219,9
41,2023-06-15 00:00:00,,,2023-06-18 00:00:00,No Response,,1349,454,13
42,2021-03-23 00:00:00,,,2021-03-27 00:00:00,No Response,,1542,449,3
43,2021-08-07 00:00:00,2021-08-07 01:40:00,,2021-08-08 00:00:00,Cancelled,Late Response,1591,409,12
44,2020-01-27 00:00:00,2020-01-27 01:49:00,2020-01-27 06:10:00,2020-01-27 00:00:00,Completed,,816,358,10
45,2025-11-20 00:00:00,2025-11-20 01:28:00,,2025-11-22 00:00:00,Cancelled,Late Response,199,36,14
46,2024-03-14 00:00:00,2024-03-14 01:35:00,2024-03-14 02:53:00,2024-03-15 00:00:00,Completed,,883,88,6
47,2021-03-27 00:00:00,2021-03-27 01:17:00,,2021-03-28 00:00:00,Cancelled,User Cancelled,997,94,17
48,2022-02-24 00:00:00,2022-02-24 02:00:00,,2022-02-27 00:00:00,Cancelled,Provider Unavailable,412,31,6
49,2021-03-23 00:00:00,,,2021-03-24 00:00:00,No Response,,1284,468,20
50,2024-03-27 00:00:00,2024-03-27 00:40:00,2024-03-27 01:22:00,2024-03-29 00:00:00,Completed,,164,151,3
51,2025-05-11 00:00:00,2025-05-11 01:31:00,,2025-05-11 00:00:00,Cancelled,User Cancelled,61,300,8
52,2020-06-20 00:00:00,2020-06-20 00:32:00,2020-06-20 05:09:00,2020-06-20 00:00:00,Completed,,126,137,1
53,2022-12-24 00:00:00,2022-12-24 01:05:00,,2022-12-26 00:00:00,Cancelled,Late Response,770,309,17
54,2023-11-06 00:00:00,2023-11-06 01:49:00,,2023-11-07 00:00:00,Cancelled,Provider Unavailable,880,173,12
55,2020-08-22 00:00:00,2020-08-22 01:56:00,,2020-08-24 00:00:00,Cancelled,User Cancelled,1363,205,13
56,2021-07-22 00:00:00,2021-07-22 01:22:00,2021-07-22 02:34:00,2021-07-26 00:00:00,Completed,,7,234,13
57,2024-02-18 00:00:00,2024-02-18 01:24:00,,2024-02-23 00:00:00,Cancelled,Late Response,573,487,8
58,2024-08-19 00:00:00,,,2024-08-20 00:00:00,No Response,,1782,244,17
59,2020-03-09 00:00:00,,,2020-03-11 00:00:00,No Response,,7,327,11
60,2024-12-24 00:00:00,2024-12-24 01:22:00,2024-12-24 05:40:00,2024-12-27 00:00:00,Completed,,1789,24,11
61,2023-11-27 00:00:00,2023-11-27 01:05:00,,2023-12-02 00:00:00,Cancelled,Late Response,1514,314,3
62,2023-04-18 00:00:00,,,2023-04-19 00:00:00,No Response,,1854,52,13
63,2025-08-28 00:00:00,2025-08-28 00:21:00,2025-08-28 04:45:00,2025-08-28 00:00:00,Completed,,1459,74,17
64,2025-03-27 00:00:00,2025-03-27 01:59:00,2025-03-27 05:57:00,2025-03-27 00:00:00,Completed,,618,427,18
65,2022-09-13 00:00:00,2022-09-13 00:32:00,2022-09-13 02:09:00,2022-09-18 00:00:00,Completed,,988,340,18
66,2024-11-16 00:00:00,,,2024-11-16 00:00:00,No Response,,1434,46,4
67,2024-04-19 00:00:00,2024-04-19 00:33:00,,2024-04-24 00:00:00,Cancelled,Provider Unavailable,329,476,11
68,2021-07-10 00:00:00,,,2021-07-15 00:00:00,No Response,,1364,244,4
69,2023-09-25 00:00:00,2023-09-25 01:18:00,2023-09-25 02:01:00,2023-09-30 00:00:00,Completed,,1486,252,3
70,2024-11-24 00:00:00,2024-11-24 00:33:00,2024-11-24 02:55:00,2024-11-24 00:00:00,Completed,,703,194,13
