Request_ID,Amount,Payment_Method,Payment_Status
1,98.42,Card,Pending
2,19.97,Cash,Pending
3,581.52,Card,Paid
4,160.9,Card,Paid
5,634.07,Card,Paid
6,86.44,Card,Pending
7,37.45,Cash,Pending
8,69.58,Card,Pending
9,57.13,Card,Pending
10,2.43,Cash,Pending
11,9.39,Cash,Pending
12,76.08,Card,Pending
13,96.42,Card,Pending
14,56.02,Card,Pending
15,608.42,Card,Paid
16,46.19,Cash,Pending
17,81.32,Card,Pending
18,46.4,Cash,Pending
19,151.01,Wallet,Paid
20,97.89,Card,Pending
21,6.57,Cash,Pending
22,16.84,Card,Pending
23,88.45,Cash,Pending
24,17.41,Card,Pending
25,818.13,Wallet,Paid
26,61.42,Cash,Pending
27,4.42,Cash,Pending
28,90.22,Card,Pending
29,422.84,Cash,Paid
30,27.5,Card,Pending
31,87.44,Cash,Pending
32,750.61,Card,Paid
33,14.42,Cash,Pending
34,15.06,Card,Pending
35,20.3,Card,Pending
36,16.82,Cash,Pending
37,738.05,Wallet,Paid
38,85.65,Cash,Pending
39,222.19,Card,Paid
40,12.94,Cash,Pending
41,79.73,Cash,Pending
42,43.25,Card,Pending
43,36.86,Card,Pending
44,886.54,Wallet,Paid
45,1.49,Card,Pending
46,253.2,Cash,Paid
47,24.05,Card,Pending
48,66.61,Card,Pending
49,77.53,Card,Pending
50,983.61,Wallet,Paid
51,89.82,Cash,Pending
52,53.78,Card,Paid
53,56.07,Cash,Pending
54,56.37,Cash,Pending
55,85.53,Cash,Pending
56,314.35,Wallet,Paid
57,68.91,Card,Pending
58,14.9,Card,Pending
59,13.56,Cash,Pending
60,914.6,Cash,Paid
61,42.9,Cash,Pending
62,45.2,Cash,Pending
63,83.93,Card,Paid
64,188.85,Cash,Paid
65,708.17,Wallet,Paid
66,93.72,Cash,Pending
67,98.91,Card,Pending
68,56.25,Card,Pending
69,52.57,Wallet,Paid
70,944.33,Card,Paid
71,47.61,Cash,Pending
72,350.2,Cash,Paid
73,898.72,Card,Paid
74,68.61,Card,Pending
75,319.46,Cash,Paid
76,4.44,Cash,Pending
77,639.6,Cash,Paid
78,81.13,Cash,Pending
79,2.16,Cash,Pending
80,99.65,Card,Pending
81,65.31,Card,Pending
82,81.69,Cash,Pending
83,58.87,Card,Pending
84,82.3,Card,Pending
85,14.7,Cash,Pending
86,79.34,Cash,Pending
87,10.79,Cash,Pending
88,94.41,Cash,Pending
89,23.72,Card,Pending
90,228.67,Card,Paid
91,10.46,Cash,Pending
92,887.22,Card,Paid
93,74.67,Card,Pending
94,34.53,Cash,Pending
95,928.23,Wallet,Paid
96,390.22,Wallet,Paid
97,54.46,Card,Pending
98,542.52,Wallet,Paid
99,9.68,Card,Pending
100,28.01,Card,Pending
101,41.63,Card,Pending
102,295.36,Cash,Paid
103,17.07,Cash,Pending
104,801.35,Card,Paid
105,97.05,Card,Pending
106,16.51,Card,Pending
107,0.83,Card,Pending
108,314.73,Card,Paid
109,138.91,Wallet,Paid
110,99.63,Card,Pending
111,328.07,Card,Paid
112,36.18,Card,Pending
113,918.85,Card,Paid
114,43.55,Cash,Pending
115,91.23,Card,Pending
116,34.5,Cash,Pending
117,116.68,Wallet,Paid
118,3.78,Cash,Pending
119,199.12,Wallet,Paid
120,306.96,Cash,Paid
121,83.39,Cash,Pending
122,10.12,Card,Pending
123,5.28,Card,Pending
124,17.86,Cash,Pending
125,2.3,Card,Pending
126,629.9,Wallet,Paid
127,16.3,Cash,Pending
128,9.24,Card,Pending
129,46.9,Cash,Pending
130,15.65,Card,Pending
131,235.17,Card,Paid
132,114.38,Cash,Paid
133,91.8,Cash,Pending
134,317.18,Cash,Paid
135,18.2,Card,Pending
136,74.7,Card,Pending
137,54.01,Card,Paid
138,79.74,Card,Pending
139,28.54,Card,Pending
140,74.51,Card,Pending
141,17.29,Card,Pending
142,801.76,Card,Paid
143,912.07,Cash,Paid
144,813.59,Wallet,Paid
145,20.87,Card,Pending
146,3.71,Cash,Pending
147,343.26,Card,Paid
148,14.21,Cash,Pending
149,470.77,Card,Paid
150,73.15,Card,Pending
151,7.33,Cash,Pending
152,66.7,Card,Pending
153,239.96,Wallet,Paid
154,14.82,Cash,Pending
155,25.42,Cash,Pending
156,9.93,Cash,Pending
157,490.37,Wallet,Paid
158,784.72,Cash,Paid
159,967.35,Wallet,Paid
160,38.04,Card,Pending
161,617.66,Wallet,Paid
162,1.0,Cash,Pending
163,232.08,Cash,Paid
164,84.88,Card,Pending
165,214.3,Cash,Paid
166,858.02,Cash,Paid
167,72.72,Cash,Pending
168,29.76,Cash,Pending
169,445.28,Card,Paid
170,682.21,Wallet,Paid
171,13.37,Cash,Pending
172,31.46,Card,Pending
173,808.45,Cash,Paid
174,42.12,Card,Pending
175,4.96,Cash,Pending
176,28.02,Card,Pending
177,82.24,Card,Pending
178,11.72,Cash,Pending
179,63.72,Card,Pending
180,42.89,Card,Pending
181,91.65,Cash,Pending
182,60.35,Cash,Pending
183,81.38,Cash,Pending
184,84.07,Cash,Pending
185,745.5,Cash,Paid
186,416.38,Cash,Paid
187,386.17,Card,Paid
188,35.67,Card,Pending
189,638.63,Wallet,Paid
190,46.76,Card,Pending
191,46.06,Card,Pending
192,28.03,Card,Pending
193,521.23,Card,Paid
194,93.55,Card,Pending
195,966.0,Wallet,Paid
196,138.14,Card,Paid
197,70.26,Cash,Pending
198,39.3,Card,Pending
199,914.06,Cash,Paid
200,207.73,Cash,Paid
201,203.34,Card,Paid
202,99.37,Card,Pending
203,755.76,Cash,Paid
204,70.17,Card,Pending
205,735.39,Card,Paid
206,69.12,Cash,Pending
207,164.0,Card,Paid
208,9.51,Cash,Pending
209,28.41,Cash,Pending
210,31.54,Cash,Pending
211,83.66,Card,Pending
212,850.65,Cash,Paid
213,776.17,Wallet,Paid
214,232.31,Card,Paid
